"","Index","Wortlaut"
"323","HGB § 89b (2)"," Der Ausgleich beträgt höchstens eine nach dem Durchschnitt der letzten fünf Jahre der Tätigkeit des Handelsvertreters berechnete Jahresprovision oder sonstige Jahresvergütung; bei kürzerer Dauer des Vertragsverhältnisses ist der Durchschnitt während der Dauer der Tätigkeit maßgebend."
"324","HGB § 89b (3)"," Der Anspruch besteht nicht, wenn 1.der Handelsvertreter das Vertragsverhältnis gekündigt hat, es sei denn, daß ein Verhalten des Unternehmers hierzu begründeten Anlaß gegeben hat oder dem Handelsvertreter eine Fortsetzung seiner Tätigkeit wegen seines Alters oder wegen Krankheit nicht zugemutet werden kann, oder2.der Unternehmer das Vertragsverhältnis gekündigt hat und für die Kündigung ein wichtiger Grund wegen schuldhaften Verhaltens des Handelsvertreters vorlag oder3.auf Grund einer Vereinbarung zwischen dem Unternehmer und dem Handelsvertreter ein Dritter anstelle des Handelsvertreters in das Vertragsverhältnis eintritt; die Vereinbarung kann nicht vor Beendigung des Vertragsverhältnisses getroffen werden."
"325","HGB § 89b (4)"," Der Anspruch kann im voraus nicht ausgeschlossen werden. Er ist innerhalb eines Jahres nach Beendigung des Vertragsverhältnisses geltend zu machen."
"326","HGB § 89b (5)"," Die Absätze 1, 3 und 4 gelten für Versicherungsvertreter mit der Maßgabe, daß an die Stelle der Geschäftsverbindung mit neuen Kunden, die der Handelsvertreter geworben hat, die Vermittlung neuer Versicherungsverträge durch den Versicherungsvertreter tritt und der Vermittlung eines Versicherungsvertrages es gleichsteht, wenn der Versicherungsvertreter einen bestehenden Versicherungsvertrag so wesentlich erweitert hat, daß dies wirtschaftlich der Vermittlung eines neuen Versicherungsvertrages entspricht. Der Ausgleich des Versicherungsvertreters beträgt abweichend von Absatz 2 höchstens drei Jahresprovisionen oder Jahresvergütungen. Die Vorschriften der Sätze 1 und 2 gelten sinngemäß für Bausparkassenvertreter.
"
"327","HGB § 90 ","§ 90
Der Handelsvertreter darf Geschäfts- und Betriebsgeheimnisse, die ihm anvertraut oder als solche durch seine Tätigkeit für den Unternehmer bekanntgeworden sind, auch nach Beendigung des Vertragsverhältnisses nicht verwerten oder anderen mitteilen, soweit dies nach den gesamten Umständen der Berufsauffassung eines ordentlichen Kaufmannes widersprechen würde."
"328","HGB § 90a ","§ 90a
"
"329","HGB § 90a (1)"," Eine Vereinbarung, die den Handelsvertreter nach Beendigung des Vertragsverhältnisses in seiner gewerblichen Tätigkeit beschränkt (Wettbewerbsabrede), bedarf der Schriftform und der Aushändigung einer vom Unternehmer unterzeichneten, die vereinbarten Bestimmungen enthaltenden Urkunde an den Handelsvertreter. Die Abrede kann nur für längstens zwei Jahre von der Beendigung des Vertragsverhältnisses an getroffen werden; sie darf sich nur auf den dem Handelsvertreter zugewiesenen Bezirk oder Kundenkreis und nur auf die Gegenstände erstrecken, hinsichtlich deren sich der Handelsvertreter um die Vermittlung oder den Abschluß von Geschäften für den Unternehmer zu bemühen hat. Der Unternehmer ist verpflichtet, dem Handelsvertreter für die Dauer der Wettbewerbsbeschränkung eine angemessene Entschädigung zu zahlen."
"330","HGB § 90a (2)"," Der Unternehmer kann bis zum Ende des Vertragsverhältnisses schriftlich auf die Wettbewerbsbeschränkung mit der Wirkung verzichten, daß er mit dem Ablauf von sechs Monaten seit der Erklärung von der Verpflichtung zur Zahlung der Entschädigung frei wird."
"331","HGB § 90a (3)"," Kündigt ein Teil das Vertragsverhältnis aus wichtigem Grund wegen schuldhaften Verhaltens des anderen Teils, kann er sich durch schriftliche Erklärung binnen einem Monat nach der Kündigung von der Wettbewerbsabrede lossagen."
"332","HGB § 90a (4)"," Abweichende für den Handelsvertreter nachteilige Vereinbarungen können nicht getroffen werden."
"333","HGB § 91 ","§ 91
"
"334","HGB § 91 (1)"," § 55 gilt auch für einen Handelsvertreter, der zum Abschluß von Geschäften von einem Unternehmer bevollmächtigt ist, der nicht Kaufmann ist."
"335","HGB § 91 (2)"," Ein Handelsvertreter gilt, auch wenn ihm keine Vollmacht zum Abschluß von Geschäften erteilt ist, als ermächtigt, die Anzeige von Mängeln einer Ware, die Erklärung, daß eine Ware zur Verfügung gestellt werde, sowie ähnliche Erklärungen, durch die ein Dritter seine Rechte aus mangelhafter Leistung geltend macht oder sich vorbehält, entgegenzunehmen; er kann die dem Unternehmer zustehenden Rechte auf Sicherung des Beweises geltend machen. Eine Beschränkung dieser Rechte braucht ein Dritter gegen sich nur gelten zu lassen, wenn er sie kannte oder kennen mußte."
"336","HGB § 91a ","§ 91a
"
"337","HGB § 91a (1)"," Hat ein Handelsvertreter, der nur mit der Vermittlung von Geschäften betraut ist, ein Geschäft im Namen des Unternehmers abgeschlossen, und war dem Dritten der Mangel an Vertretungsmacht nicht bekannt, so gilt das Geschäft als von dem Unternehmer genehmigt, wenn dieser nicht unverzüglich, nachdem er von dem Handelsvertreter oder dem Dritten über Abschluß und wesentlichen Inhalt benachrichtigt worden ist, dem Dritten gegenüber das Geschäft ablehnt."
"338","HGB § 91a (2)"," Das gleiche gilt, wenn ein Handelsvertreter, der mit dem Abschluß von Geschäften betraut ist, ein Geschäft im Namen des Unternehmers abgeschlossen hat, zu dessen Abschluß er nicht bevollmächtigt ist."
"339","HGB § 92 ","§ 92
"
"340","HGB § 92 (1)"," Versicherungsvertreter ist, wer als Handelsvertreter damit betraut ist, Versicherungsverträge zu vermitteln oder abzuschließen."
"341","HGB § 92 (2)"," Für das Vertragsverhältnis zwischen dem Versicherungsvertreter und dem Versicherer gelten die Vorschriften für das Vertragsverhältnis zwischen dem Handelsvertreter und dem Unternehmer vorbehaltlich der Absätze 3 und 4."
"342","HGB § 92 (3)"," In Abweichung von § 87 Abs. 1 Satz 1 hat ein Versicherungsvertreter Anspruch auf Provision nur für Geschäfte, die auf seine Tätigkeit zurückzuführen sind. § 87 Abs. 2 gilt nicht für Versicherungsvertreter."
"343","HGB § 92 (4)"," Der Versicherungsvertreter hat Anspruch auf Provision (§ 87a Abs. 1), sobald der Versicherungsnehmer die Prämie gezahlt hat, aus der sich die Provision nach dem Vertragsverhältnis berechnet."
"344","HGB § 92 (5)"," Die Vorschriften der Absätze 1 bis 4 gelten sinngemäß für Bausparkassenvertreter."
"345","HGB § 92a ","§ 92a
"
"346","HGB § 92a (1)"," Für das Vertragsverhältnis eines Handelsvertreters, der vertraglich nicht für weitere Unternehmer tätig werden darf oder dem dies nach Art und Umfang der von ihm verlangten Tätigkeit nicht möglich ist, kann das Bundesministerium der Justiz im Einvernehmen mit dem Bundesministerium für Wirtschaft und Klimaschutz nach Anhörung von Verbänden der Handelsvertreter und der Unternehmer durch Rechtsverordnung, die nicht der Zustimmung des Bundesrates bedarf, die untere Grenze der vertraglichen Leistungen des Unternehmers festsetzen, um die notwendigen sozialen und wirtschaftlichen Bedürfnisse dieser Handelsvertreter oder einer bestimmten Gruppe von ihnen sicherzustellen. Die festgesetzten Leistungen können vertraglich nicht ausgeschlossen oder beschränkt werden."
"347","HGB § 92a (2)"," Absatz 1 gilt auch für das Vertragsverhältnis eines Versicherungsvertreters, der auf Grund eines Vertrages oder mehrerer Verträge damit betraut ist, Geschäfte für mehrere Versicherer zu vermitteln oder abzuschließen, die zu einem Versicherungskonzern oder zu einer zwischen ihnen bestehenden Organisationsgemeinschaft gehören, sofern die Beendigung des Vertragsverhältnisses mit einem dieser Versicherer im Zweifel auch die Beendigung des Vertragsverhältnisses mit den anderen Versicherern zur Folge haben würde. In diesem Falle kann durch Rechtsverordnung, die nicht der Zustimmung des Bundesrates bedarf, außerdem bestimmt werden, ob die festgesetzten Leistungen von allen Versicherern als Gesamtschuldnern oder anteilig oder nur von einem der Versicherer geschuldet werden und wie der Ausgleich unter ihnen zu erfolgen hat."
"348","HGB § 92b ","§ 92b
"
"349","HGB § 92b (1)"," Auf einen Handelsvertreter im Nebenberuf sind §§ 89 und 89b nicht anzuwenden. Ist das Vertragsverhältnis auf unbestimmte Zeit eingegangen, so kann es mit einer Frist von einem Monat für den Schluß eines Kalendermonats gekündigt werden; wird eine andere Kündigungsfrist vereinbart, so muß sie für beide Teile gleich sein. Der Anspruch auf einen angemessenen Vorschuß nach § 87a Abs. 1 Satz 2 kann ausgeschlossen werden."
"350","HGB § 92b (2)"," Auf Absatz 1 kann sich nur der Unternehmer berufen, der den Handelsvertreter ausdrücklich als Handelsvertreter im Nebenberuf mit der Vermittlung oder dem Abschluß von Geschäften betraut hat."
"351","HGB § 92b (3)"," Ob ein Handelsvertreter nur als Handelsvertreter im Nebenberuf tätig ist, bestimmt sich nach der Verkehrsauffassung."
"352","HGB § 92b (4)"," Die Vorschriften der Absätze 1 bis 3 gelten sinngemäß für Versicherungsvertreter und für Bausparkassenvertreter."
"353","HGB § 92c ","§ 92c
"
"354","HGB § 92c (1)"," Hat der Handelsvertreter seine Tätigkeit für den Unternehmer nach dem Vertrag nicht innerhalb des Gebietes der Europäischen Gemeinschaft oder der anderen Vertragsstaaten des Abkommens über den Europäischen Wirtschaftsraum auszuüben, so kann hinsichtlich aller Vorschriften dieses Abschnittes etwas anderes vereinbart werden."
"355","HGB § 92c (2)"," Das gleiche gilt, wenn der Handelsvertreter mit der Vermittlung oder dem Abschluß von Geschäften betraut wird, die die Befrachtung, Abfertigung oder Ausrüstung von Schiffen oder die Buchung von Passagen auf Schiffen zum Gegenstand haben."
"356","HGB NA ","Achter AbschnittHandelsmakler"
"357","HGB § 93 ","§ 93
"
"358","HGB § 93 (1)"," Wer gewerbsmäßig für andere Personen, ohne von ihnen auf Grund eines Vertragsverhältnisses ständig damit betraut zu sein, die Vermittlung von Verträgen über Anschaffung oder Veräußerung von Waren oder Wertpapieren, über Versicherungen, Güterbeförderungen, Schiffsmiete oder sonstige Gegenstände des Handelsverkehrs übernimmt, hat die Rechte und Pflichten eines Handelsmaklers."
"359","HGB § 93 (2)"," Auf die Vermittlung anderer als der bezeichneten Geschäfte, insbesondere auf die Vermittlung von Geschäften über unbewegliche Sachen, finden, auch wenn die Vermittlung durch einen Handelsmakler erfolgt, die Vorschriften dieses Abschnitts keine Anwendung."
"360","HGB § 93 (3)"," Die Vorschriften dieses Abschnittes finden auch Anwendung, wenn das Unternehmen des Handelsmaklers nach Art oder Umfang einen in kaufmännischer Weise eingerichteten Geschäftsbetrieb nicht erfordert."
"361","HGB § 94 ","§ 94
"
"362","HGB § 94 (1)"," Der Handelsmakler hat, sofern nicht die Parteien ihm dies erlassen oder der Ortsgebrauch mit Rücksicht auf die Gattung der Ware davon entbindet, unverzüglich nach dem Abschlusse des Geschäfts jeder Partei eine von ihm unterzeichnete Schlußnote zuzustellen, welche die Parteien, den Gegenstand und die Bedingungen des Geschäfts, insbesondere bei Verkäufen von Waren oder Wertpapieren deren Gattung und Menge sowie den Preis und die Zeit der Lieferung, enthält."
"363","HGB § 94 (2)"," Bei Geschäften, die nicht sofort erfüllt werden sollen, ist die Schlußnote den Parteien zu ihrer Unterschrift zuzustellen und jeder Partei die von der anderen unterschriebene Schlußnote zu übersenden."
"364","HGB § 94 (3)"," Verweigert eine Partei die Annahme oder Unterschrift der Schlußnote, so hat der Handelsmakler davon der anderen Partei unverzüglich Anzeige zu machen."
"365","HGB § 95 ","§ 95
"
"366","HGB § 95 (1)"," Nimmt eine Partei eine Schlußnote an, in der sich der Handelsmakler die Bezeichnung der anderen Partei vorbehalten hat, so ist sie an das Geschäft mit der Partei, welche ihr nachträglich bezeichnet wird, gebunden, es sei denn, daß gegen diese begründete Einwendungen zu erheben sind."
"367","HGB § 95 (2)"," Die Bezeichnung der anderen Partei hat innerhalb der ortsüblichen Frist, in Ermangelung einer solchen innerhalb einer den Umständen nach angemessenen Frist zu erfolgen."
"368","HGB § 95 (3)"," Unterbleibt die Bezeichnung oder sind gegen die bezeichnete Person oder Firma begründete Einwendungen zu erheben, so ist die Partei befugt, den Handelsmakler auf die Erfüllung des Geschäfts in Anspruch zu nehmen. Der Anspruch ist ausgeschlossen, wenn sich die Partei auf die Aufforderung des Handelsmaklers nicht unverzüglich darüber erklärt, ob sie Erfüllung verlange."
"369","HGB § 96 ","§ 96
Der Handelsmakler hat, sofern nicht die Parteien ihm dies erlassen oder der Ortsgebrauch mit Rücksicht auf die Gattung der Ware davon entbindet, von jeder durch seine Vermittlung nach Probe verkauften Ware die Probe, falls sie ihm übergeben ist, so lange aufzubewahren, bis die Ware ohne Einwendung gegen ihre Beschaffenheit angenommen oder das Geschäft in anderer Weise erledigt wird. Er hat die Probe durch ein Zeichen kenntlich zu machen."
"370","HGB § 97 ","§ 97
Der Handelsmakler gilt nicht als ermächtigt, eine Zahlung oder eine andere im Vertrage bedungene Leistung in Empfang zu nehmen."
"371","HGB § 98 ","§ 98
Der Handelsmakler haftet jeder der beiden Parteien für den durch sein Verschulden entstehenden Schaden."
"372","HGB § 99 ","§ 99
Ist unter den Parteien nichts darüber vereinbart, wer den Maklerlohn bezahlen soll, so ist er in Ermangelung eines abweichenden Ortsgebrauchs von jeder Partei zur Hälfte zu entrichten."
"373","HGB § 100 ","§ 100
"
"374","HGB § 100 (1)"," Der Handelsmakler ist verpflichtet, ein Tagebuch zu führen und in dieses alle abgeschlossenen Geschäfte täglich einzutragen. Die Eintragungen sind nach der Zeitfolge zu bewirken; sie haben die in § 94 Abs. 1 bezeichneten Angaben zu enthalten. Das Eingetragene ist von dem Handelsmakler täglich zu unterzeichnen oder gemäß § 126a Abs. 1 des Bürgerlichen Gesetzbuchs elektronisch zu signieren."
"375","HGB § 100 (2)"," Die Vorschriften der §§ 239 und 257 über die Einrichtung und Aufbewahrung der Handelsbücher finden auf das Tagebuch des Handelsmaklers Anwendung."
"376","HGB § 101 ","§ 101
Der Handelsmakler ist verpflichtet, den Parteien jederzeit auf Verlangen Auszüge aus dem Tagebuche zu geben, die von ihm unterzeichnet sind und alles enthalten, was von ihm in Ansehung des vermittelten Geschäfts eingetragen ist."
"377","HGB § 102 ","§ 102
Im Laufe eines Rechtsstreits kann das Gericht auch ohne Antrag einer Partei die Vorlegung des Tagebuchs anordnen, um es mit der Schlußnote, den Auszügen oder anderen Beweismitteln zu vergleichen."
"378","HGB § 103 ","§ 103
"
"379","HGB § 103 (1)"," Ordnungswidrig handelt, wer als Handelsmakler 1.vorsätzlich oder fahrlässig ein Tagebuch über die abgeschlossenen Geschäfte zu führen unterläßt oder das Tagebuch in einer Weise führt, die dem § 100 Abs. 1 widerspricht oder2.ein solches Tagebuch vor Ablauf der gesetzlichen Aufbewahrungsfrist vernichtet."
"380","HGB § 103 (2)"," Die Ordnungswidrigkeit kann mit einer Geldbuße bis zu fünftausend Euro geahndet werden."
"381","HGB § 104 ","§ 104
Auf Personen, welche die Vermittlung von Warengeschäften im Kleinverkehre besorgen, finden die Vorschriften über Schlußnoten und Tagebücher keine Anwendung. Auf Personen, welche die Vermittlung von Versicherungs- oder Bausparverträgen übernehmen, sind die Vorschriften über Tagebücher nicht anzuwenden."
"382","HGB NA ","Neunter AbschnittBußgeldvorschriften"
"383","HGB § 104a ","§ 104aBußgeldvorschrift
"
"384","HGB § 104a (1)"," Ordnungswidrig handelt, wer vorsätzlich oder leichtfertig entgegen § 8b Abs. 3 Satz 1 Nr. 2 dort genannte Daten nicht, nicht richtig oder nicht vollständig übermittelt. Die Ordnungswidrigkeit kann mit einer Geldbuße bis zu zweihunderttausend Euro geahndet werden."
"385","HGB § 104a (2)"," Verwaltungsbehörde im Sinne des § 36 Abs. 1 Nr. 1 des Gesetzes über Ordnungswidrigkeiten ist die Bundesanstalt für Finanzdienstleistungsaufsicht."
"386","HGB NA ","Zweites BuchHandelsgesellschaften und stille Gesellschaft"
"387","HGB NA ","Erster AbschnittOffene Handelsgesellschaft"
"388","HGB NA ","Erster TitelErrichtung der Gesellschaft"
"389","HGB § 105 ","§ 105Begriff der offenen Handelsgesellschaft; Anwendbarkeit des Bürgerlichen Gesetzbuchs
"
"390","HGB § 105 (1)"," Eine Gesellschaft, deren Zweck auf den Betrieb eines Handelsgewerbes unter gemeinschaftlicher Firma gerichtet ist, ist eine offene Handelsgesellschaft, wenn bei keinem der Gesellschafter die Haftung gegenüber den Gesellschaftsgläubigern beschränkt ist."
